sample,iso,elapsed_s,rss_bytes,peak_rss_bytes,handles,threads,cpu_ms,tcp_total,tcp_established,tcp_listen,tcp_close_wait,tcp_time_wait,tcp_other,leech_completed,leech_failed,churn_runs
127,2026-08-23T05:16:30.656Z,4203,16089088,22466560,215,28,29844,2,1,1,0,0,0,254,0,0
128,2026-08-23T05:17:01.208Z,4233,15949824,22466560,206,25,30047,1,0,1,0,0,0,256,0,0
129,2026-08-23T05:17:31.746Z,4264,16044032,22466560,209,26,30312,2,1,1,0,0,0,258,0,0
130,2026-08-23T05:18:02.219Z,4294,15921152,22466560,206,25,30516,2,1,1,0,0,0,260,0,0
131,2026-08-23T05:18:32.774Z,4325,15847424,22466560,206,25,30734,2,1,1,0,0,0,262,0,0
132,2026-08-23T05:19:03.848Z,4356,16060416,22466560,215,28,30953,1,0,1,0,0,0,264,0,0
133,2026-08-23T05:19:35.607Z,4388,16015360,22466560,212,27,31125,2,1,1,0,0,0,266,0,0
134,2026-08-23T05:20:13.983Z,4426,15859712,22466560,206,25,31328,2,1,1,0,0,0,268,0,0
135,2026-08-23T05:20:53.000Z,4465,15933440,22466560,215,28,31531,2,1,1,0,0,0,270,0,0
136,2026-08-23T05:21:31.523Z,4504,15962112,22466560,209,26,31812,2,1,1,0,0,0,272,0,0
137,2026-08-23T05:22:02.033Z,4534,15917056,22466560,209,26,32078,1,0,1,0,0,0,274,0,0
138,2026-08-23T05:22:32.547Z,4565,15896576,22466560,209,26,32281,1,0,1,0,0,0,276,0,0
139,2026-08-23T05:23:03.015Z,4595,15847424,22466560,206,25,32500,1,0,1,0,0,0,278,0,0
140,2026-08-23T05:23:33.532Z,4626,15867904,22466560,206,25,32734,1,0,1,0,0,0,280,0,0
141,2026-08-23T05:24:04.139Z,4656,16089088,22466560,218,29,33031,2,1,1,0,0,0,282,0,0
142,2026-08-23T05:24:34.581Z,4687,15831040,22466560,206,25,33188,1,0,1,0,0,0,284,0,0
143,2026-08-23T05:25:05.017Z,4717,15777792,22466560,206,25,33422,1,0,1,0,0,0,286,0,0
144,2026-08-23T05:25:35.529Z,4748,15933440,22466560,215,28,33703,2,1,1,0,0,0,288,0,0
